,Date,key_Store_Dept,Predictions,p_20,p_80
0,2012-11-02,10_1,53784.99,42996.742,80435.914
1,2012-11-09,10_1,55641.21,33157.562,79036.27
2,2012-11-16,10_1,60326.977,18787.857,85618.734
3,2012-11-23,10_1,47520.434,11580.497,74568.12
4,2012-11-30,10_1,38260.055,8122.9985,57443.37
5,2012-12-07,10_1,36198.12,11215.791,58186.055
6,2012-12-14,10_1,27159.82,12315.754,51044.56
7,2012-12-21,10_1,27322.352,14675.518,43148.41
8,2012-11-02,10_10,49927.934,37165.496,68704.375
9,2012-11-09,10_10,48463.176,28027.252,62304.8
10,2012-11-16,10_10,45543.65,28130.312,71352.695
11,2012-11-23,10_10,49348.297,21670.28,68344.664
12,2012-11-30,10_10,50464.914,21318.977,69831.93
13,2012-12-07,10_10,43354.934,23004.873,65722.84
14,2012-12-14,10_10,46332.234,27617.52,73926.375
15,2012-12-21,10_10,44923.81,29981.807,58061.56
16,2012-11-02,10_11,28485.967,18554.096,39414.652
17,2012-11-09,10_11,30166.168,16732.479,41679.52
18,2012-11-16,10_11,32217.373,15736.187,45120.223
19,2012-11-23,10_11,38571.617,13638.367,48170.984
20,2012-11-30,10_11,31237.6,13502.502,46933.785
21,2012-12-07,10_11,30060.092,13831.141,39884.883
22,2012-12-14,10_11,25450.266,14167.12,36352.902
23,2012-12-21,10_11,25323.293,14910.428,35046.797
24,2012-11-02,10_12,7257.5264,5113.9224,13752.089
25,2012-11-09,10_12,11347.039,4696.141,14219.085
26,2012-11-16,10_12,9519.275,3154.6504,15540.245
27,2012-11-23,10_12,9165.659,2125.3228,14347.024
28,2012-11-30,10_12,6862.2305,573.2109,12374.377
29,2012-12-07,10_12,7056.4575,565.75836,12559.881
30,2012-12-14,10_12,6949.174,1773.1614,12386.84
31,2012-12-21,10_12,6370.886,2324.483,10369.806
32,2012-11-02,10_13,77096.31,51485.613,97611.92
33,2012-11-09,10_13,71833.445,41403.957,89845.39
34,2012-11-16,10_13,57713.977,37531.54,107935.87
35,2012-11-23,10_13,65672.52,25046.578,105264.555
36,2012-11-30,10_13,67170.0,33726.625,104992.89
37,2012-12-07,10_13,69654.26,33370.926,110277.66
38,2012-12-14,10_13,67409.14,32958.812,87241.43
39,2012-12-21,10_13,64637.344,37772.516,80910.25
40,2012-11-02,10_14,38680.664,27139.838,51262.1
41,2012-11-09,10_14,40014.35,26163.104,56028.48
42,2012-11-16,10_14,40453.656,22068.838,63716.516
43,2012-11-23,10_14,42111.387,12705.512,58524.383
44,2012-11-30,10_14,35108.0,15711.214,50171.344
45,2012-12-07,10_14,34954.516,16325.19,54789.203
46,2012-12-14,10_14,33639.816,19947.85,49574.23
47,2012-12-21,10_14,31432.125,20663.283,45320.957
48,2012-11-02,10_16,14647.675,9275.953,20527.94
49,2012-11-09,10_16,15623.822,8716.241,24073.188
50,2012-11-16,10_16,18343.7,9489.641,26360.877
51,2012-11-23,10_16,18826.273,10340.786,24424.695
52,2012-11-30,10_16,16190.026,7751.706,25394.283
53,2012-12-07,10_16,17236.23,8672.918,25237.768
54,2012-12-14,10_16,17684.842,9773.791,24385.316
55,2012-12-21,10_16,18697.328,10228.757,24616.74
56,2012-11-02,10_17,32442.592,20802.055,40420.973
57,2012-11-09,10_17,29853.568,13788.623,42459.098
58,2012-11-16,10_17,28501.473,12022.542,41963.242
59,2012-11-23,10_17,14502.912,6099.3438,38990.758
60,2012-11-30,10_17,19099.832,3918.4995,36886.07
61,2012-12-07,10_17,17308.922,1770.125,33559.035
62,2012-12-14,10_17,19661.836,5527.3975,30123.094
63,2012-12-21,10_17,18411.703,8867.984,29804.072
64,2012-11-02,10_18,27003.27,11184.917,38163.59
65,2012-11-09,10_18,26347.037,5803.8945,42501.14
66,2012-11-16,10_18,21888.557,3516.7505,39468.0
67,2012-11-23,10_18,20335.762,4413.4404,34501.59
68,2012-11-30,10_18,13789.755,3179.5498,30914.777
69,2012-12-07,10_18,12721.332,0.0,18575.373
70,2012-12-14,10_18,4980.655,0.0,16327.266
71,2012-12-21,10_18,7108.178,0.0,15895.293
72,2012-11-02,10_19,3198.8557,961.12915,5124.312
73,2012-11-09,10_19,3065.1653,128.55923,5079.1265
74,2012-11-16,10_19,2200.4739,0.0,4434.585
75,2012-11-23,10_19,2197.9146,0.0,4120.256
76,2012-11-30,10_19,1889.0413,9.141494,3662.1555
77,2012-12-07,10_19,1705.7827,257.80115,3324.7312
78,2012-12-14,10_19,1578.563,379.81467,2922.4358
79,2012-12-21,10_19,1844.5192,439.32336,3108.3164
80,2012-11-02,10_2,119199.98,92599.35,139933.17
81,2012-11-09,10_2,104736.47,77309.75,149562.86
82,2012-11-16,10_2,96349.92,55623.62,156953.48
83,2012-11-23,10_2,108790.43,54838.438,169573.3
84,2012-11-30,10_2,121808.17,53184.848,175917.94
85,2012-12-07,10_2,119584.92,68448.336,170737.12
86,2012-12-14,10_2,109644.69,67491.79,151089.94
87,2012-12-21,10_2,107434.95,67464.1,154841.73
88,2012-11-02,10_20,16603.373,9508.317,22383.854
89,2012-11-09,10_20,16392.52,8116.4717,24004.67
90,2012-11-16,10_20,15203.147,5730.7905,26414.658
91,2012-11-23,10_20,10737.653,2732.4734,20554.549
92,2012-11-30,10_20,10706.895,2367.0767,19033.982
93,2012-12-07,10_20,13477.113,4872.3335,19105.412
94,2012-12-14,10_20,10933.606,4133.692,17186.912
95,2012-12-21,10_20,10676.615,4907.6226,16368.911
96,2012-11-02,10_21,9190.646,5304.8657,12939.248
97,2012-11-09,10_21,8694.926,4840.957,15339.113
98,2012-11-16,10_21,8873.477,3043.5952,13045.643
99,2012-11-23,10_21,10594.469,3127.3494,14825.816
100,2012-11-30,10_21,7099.0083,1294.311,11369.66
101,2012-12-07,10_21,6314.4707,2067.478,10728.066
102,2012-12-14,10_21,5956.3755,2705.475,10481.037
103,2012-12-21,10_21,5219.7437,2212.4783,9002.197
104,2012-11-02,10_22,13418.972,13826.917,33174.945
105,2012-11-09,10_22,24642.318,11612.166,36400.742
106,2012-11-16,10_22,24037.52,10536.075,40274.387
107,2012-11-23,10_22,23790.36,9057.146,34116.043
108,2012-11-30,10_22,19804.12,8224.042,29087.602
109,2012-12-07,10_22,21556.283,10081.476,31810.12
110,2012-12-14,10_22,21265.773,10516.688,31403.508
111,2012-12-21,10_22,21347.838,11605.068,30684.488
112,2012-11-02,10_23,61729.227,47074.574,81544.24
113,2012-11-09,10_23,65225.9,39892.895,95161.336
114,2012-11-16,10_23,66633.234,35847.5,91519.69
115,2012-11-23,10_23,66950.195,30835.945,97044.62
116,2012-11-30,10_23,74982.625,25329.162,89743.45
117,2012-12-07,10_23,66092.52,25547.242,75958.445
118,2012-12-14,10_23,54118.074,27479.904,75048.76
119,2012-12-21,10_23,49890.336,25778.848,71462.98
120,2012-11-02,10_24,16868.162,8822.047,23573.357
121,2012-11-09,10_24,13836.228,4093.3403,23172.615
122,2012-11-16,10_24,13199.713,1507.99,24914.158
123,2012-11-23,10_24,8548.584,0.0,19802.432
124,2012-11-30,10_24,9151.298,0.0,18039.975
125,2012-12-07,10_24,9278.92,431.70532,14045.204
126,2012-12-14,10_24,8349.218,979.0108,14393.3
127,2012-12-21,10_24,7824.5654,1575.3535,13529.555
128,2012-11-02,10_25,24517.453,14991.551,30505.395
129,2012-11-09,10_25,24461.283,14527.459,34001.32
130,2012-11-16,10_25,14521.981,10569.376,40508.47
131,2012-11-23,10_25,19398.488,2730.2756,36674.99
132,2012-11-30,10_25,18830.97,5166.5605,35723.7
133,2012-12-07,10_25,18270.89,5109.3364,30476.365
134,2012-12-14,10_25,16892.887,7662.0435,29126.32
135,2012-12-21,10_25,14695.199,8241.796,23897.436
136,2012-11-02,10_26,21223.89,9491.567,27954.322
137,2012-11-09,10_26,23386.2,9404.071,32691.91
138,2012-11-16,10_26,22801.912,7938.1577,36032.19
139,2012-11-23,10_26,24007.547,7786.953,33051.902
140,2012-11-30,10_26,14145.14,1612.4546,27991.281
141,2012-12-07,10_26,14913.79,2860.717,22825.059
142,2012-12-14,10_26,12363.26,2389.907,18774.37
143,2012-12-21,10_26,11263.881,4057.609,17461.213
144,2012-11-02,10_27,5098.1733,2555.2158,7690.4805
145,2012-11-09,10_27,4944.0015,1005.2934,7192.016
146,2012-11-16,10_27,6531.4,717.2535,6143.47
147,2012-11-23,10_27,3065.3936,671.55347,5590.6973
148,2012-11-30,10_27,2995.3818,763.4149,5464.968
149,2012-12-07,10_27,2748.839,671.235,4702.443
150,2012-12-14,10_27,2985.3887,756.93933,5138.9707
151,2012-12-21,10_27,2971.431,905.41205,4778.267
152,2012-11-02,10_28,1224.4615,456.14334,2180.3953
153,2012-11-09,10_28,1388.2883,0.0,2246.7646
154,2012-11-16,10_28,1313.7673,0.0,1836.179
155,2012-11-23,10_28,624.8676,0.0,1386.6239
156,2012-11-30,10_28,755.5277,0.0,1379.7004
157,2012-12-07,10_28,601.81006,27.7585,1073.5575
158,2012-12-14,10_28,614.9612,52.27654,1061.2897
159,2012-12-21,10_28,411.5585,105.775894,1012.0689
160,2012-11-02,10_29,14827.447,8108.7236,20925.63
161,2012-11-09,10_29,14214.852,6547.189,20944.654
162,2012-11-16,10_29,13454.113,5261.064,23569.988
163,2012-11-23,10_29,13649.348,4924.6646,19544.295
164,2012-11-30,10_29,7895.638,5383.8853,17991.121
165,2012-12-07,10_29,11780.999,4202.335,15795.32
166,2012-12-14,10_29,11188.992,5062.803,15507.8
167,2012-12-21,10_29,12015.49,6528.256,15940.744
168,2012-11-02,10_3,23022.52,13924.66,32163.764
169,2012-11-09,10_3,25268.598,13918.738,35795.13
170,2012-11-16,10_3,24642.43,11661.127,32003.215
171,2012-11-23,10_3,20320.305,9283.578,33832.367
172,2012-11-30,10_3,23760.865,7802.098,37132.098
173,2012-12-07,10_3,24218.596,8365.501,31058.635
174,2012-12-14,10_3,19778.729,8429.001,27884.936
175,2012-12-21,10_3,18589.922,10046.625,27123.973
176,2012-11-02,10_30,17332.605,5409.097,14563.12
177,2012-11-09,10_30,8890.399,2713.3484,14781.536
178,2012-11-16,10_30,8370.367,1337.7323,14032.983
179,2012-11-23,10_30,8624.235,1112.1277,15246.325
180,2012-11-30,10_30,6940.6055,1767.3589,13128.447
