ds;AutoARIMA;AutoARIMA/BottomUp;AutoARIMA/TopDown_method-forecast_proportions;AutoARIMA/MiddleOut_middle_level-Total/Store_top_down_method-forecast_proportions;AutoARIMA/MinTrace_method-ols;AutoARIMA/MinTrace_method-wls_struct
2012-11-02;47646160,0;51738560,0;47646160,0;46768972,0;47628268,0;48717896,0
2012-11-09;47878510,0;53746210,0;47878510,0;47349910,0;47868704,0;49658210,0
2012-11-16;46683496,0;52887010,0;46683496,0;47150636,0;46695444,0;48907044,0
2012-11-23;67302940,0;50276570,0;67302940,0;47304524,0;66863280,0;54961344,0
2012-11-30;51192076,0;46641076,0;51192076,0;46958588,0;51098732,0;48263910,0
2012-12-07;57059780,0;45844204,0;57059780,0;47151910,0;56841148,0;50018630,0
2012-12-14;62940260,0;43561350,0;62940260,0;47176196,0;62591964,0;51225936,0
2012-12-21;81699544,0;41857920,0;81699544,0;47427530,0;80943000,0;56995000,0
2012-11-02;1511886,9;1760492,8;1540243,5;1511886,9;1532738,2;1623802,5
2012-11-09;1575074,4;1772466,5;1592657,9;1575074,4;1587287,4;1653200,5
2012-11-16;1600594,6;1764227,8;1584737,1;1600594,6;1590899,2;1656711,2
2012-11-23;1600904,2;1751983,2;2277701,2;1600904,2;2036868,2;1819089,0
2012-11-30;1558999,0;1614864,9;1699548,8;1558999,0;1651863,6;1620775,9
2012-12-07;1560029,0;1544362,2;1887832,4;1560029,0;1775657,6;1633577,9
2012-12-14;1559688,5;1473193,5;2080863,2;1559688,5;1902408,4;1651836,1
2012-12-21;1560199,6;1445027,8;2687628,5;1560199,6;2305565,2;1788151,1
2012-11-02;1817721,2;2005607,2;1851814,0;1817721,2;1837794,2;1899277,1
2012-11-09;1948108,0;2050238,8;1969855,9;1948108,0;1959099,8;1978603,2
2012-11-16;2001701,2;2016876,0;1981869,9;2001701,2;1990102,6;1983588,5
2012-11-23;1904897,0;1899259,5;2710209,8;1904897,0;2338851,8;2044723,5
2012-11-30;1889539,5;1741971,9;2059888,8;1889539,5;1979796,0;1849599,5
2012-12-07;1890299,9;1734206,4;2287502,0;1890299,9;2104128,2;1893635,1
2012-12-14;1890058,5;1602169,0;2521627,5;1890058,5;2230196,5;1881508,9
2012-12-21;1890699,1;1571761,6;3256953,0;1890699,1;2633452,5;2016767,8
2012-11-02;1323727,6;1412573,1;1348555,1;1323727,6;1342519,2;1355602,4
2012-11-09;1398492,0;1483188,8;1414104,2;1398492,0;1409248,0;1420003,1
2012-11-16;1392490,1;1449308,0;1378694,4;1392490,1;1381414,2;1394865,2
2012-11-23;1389071,2;1356107,2;1976313,9;1389071,2;1822752,4;1517087,2
2012-11-30;1352138,2;1340978,8;1474038,6;1352138,2;1444160,6;1380842,0
2012-12-07;1353002,6;1267732,4;1637304,2;1353002,6;1567788,2;1392806,6
2012-12-14;1353318,0;1213776,5;1805533,5;1353318,0;1695437,0;1420700,9
2012-12-21;1353993,9;1199117,6;2332414,8;1353993,9;2098998,5;1565801,5
2012-11-02;998342,3;1094715,8;1017067,0;998342,3;1017268,5;1034463,5
2012-11-09;1003796,25;1144663,8;1015002,2;1003796,25;1015328,8;1054194,6
2012-11-16;1009923,56;1164929,4;999918,0;1009923,56;1000173,94;1062394,0
2012-11-23;1017070,56;1048868,9;1447046,4;1017070,56;1451367,6;1171909,9
2012-11-30;1025018,44;958890,2;1117427,9;1025018,44;1116265,2;1024919,3
2012-12-07;1007327,2;887789,44;1218993,4;1007327,2;1221510,1;1026826,75
2012-12-14;1007048,8;856431,9;1343557,4;1007048,8;1348778,2;1063619,0
2012-12-21;1007369,06;815018,44;1735312,4;1007369,06;1751425,1;1189314,6
2012-11-02;2020903,4;2265684,2;2058807,0;2020903,4;2041633,0;2130585,0
2012-11-09;2011350,8;2416201,2;2033804,8;2011350,8;2026096,9;2192671,8
2012-11-16;2047650,8;2402947,2;2027364,1;2047650,8;2040294,9;2198931,5
2012-11-23;2056462,1;2292124,5;2925850,2;2056462,1;2493575,8;2320644,0
2012-11-30;2010834,4;2185423,5;2192119,0;2010834,4;2105195,0;2132852,0
2012-12-07;2012565,2;2109236,2;2435458,5;2012565,2;2229673,2;2144397,0
2012-12-14;2012620,1;2013597,0;2685143,5;2012620,1;2356572,8;2152020,5
2012-12-21;2013576,0;1943427,1;3468623,0;2013576,0;2759784,0;2271455,5
2012-11-02;1669290,1;1890322,9;1700598,9;1669290,1;1689788,0;1767419,2
2012-11-09;1735191,9;2004915,0;1754563,0;1735191,9;1748332,2;1849483,6
2012-11-16;1669015,1;1973076,5;1652479,9;1669015,1;1661120,1;1795345,8
2012-11-23;1679142,5;1836525,1;2389015,2;1679142,5;2115187,2;1900479,0
2012-11-30;1592128,5;1753364,0;1735665,0;1592128,5;1686344,1;1706590,1
2012-12-07;1608141,9;1702890,8;1946055,2;1608141,9;1825186,1;1736898,4
2012-12-14;1627897,2;1601238,8;2171864,2;1627897,2;1971384,2;1749963,1
2012-12-21;1608885,0;1543550,8;2771494,8;1608885,0;2354889,8;1861755,4
2012-11-02;573130,75;611014,9;583880,25;573130,75;591274,2;579363,9
2012-11-09;602585,75;632602,06;609312,75;602585,75;612646,44;596489,75
2012-11-16;602553,25;624447,9;596583,6;602553,25;591029,9;587133,1
2012-11-23;617266,06;579475,56;878220,94;617266,06;1050961,6;744721,2
2012-11-30;622454,94;532419,4;678571,6;622454,94;713507,9;612160,25
2012-12-07;622852,4;495763,12;753730,2;622852,4;837163,4;642803,8
2012-12-14;622553,94;503713,5;830582,3;622553,94;965008,9;702045,75
2012-12-21;622774,0;493143,38;1072801,9;622774,0;1368238,4;850912,56
2012-11-02;490491,7;556766,0;499691,22;490491,7;509013,56;511402,5
2012-11-09;496471,78;568687,44;502014,22;496471,78;507090,38;512276,88
2012-11-16;510642,84;541273,6;505583,78;510642,84;499249,44;500592,0
2012-11-23;522372,8;534480,6;743210,7;522372,8;956483,9;669219,5
2012-11-30;524314,8;501420,78;571583,8;524314,8;616150,4;546272,25
2012-12-07;561969,94;468937,9;680054,75;561969,94;776554,9;595779,2
2012-12-14;527202,9;446715,1;703369,4;527202,9;869928,4;620595,8
2012-12-21;528182,8;444861,78;909857,44;528182,8;1273817,0;768351,4
2012-11-02;902229,0;1080466,1;919151,06;902229,0;922204,94;979121,06
2012-11-09;903411,94;1126088,1;913497,3;903411,94;915984,56;994447,4
2012-11-16;904327,0;1084376,5;895367,6;904327,0;894874,06;968985,6
2012-11-23;905773,8;1051803,6;1288698,0;905773,8;1341624,1;1119581,5
2012-11-30;909470,9;1001810,25;991463,1;909470,9;1002803,0;989045,0
2012-12-07;910126,1;981180,0;1101367,8;910126,1;1126842,0;1025978,4
2012-12-14;939466,2;942140,94;1253391,8;939466,2;1283271,8;1074440,4
2012-12-21;935233,3;917359,44;1611050,1;935233,3;1681717,5;1208125,5
2012-11-02;1120724,6;1249511,2;1141744,6;1120724,6;1140021,9;1172569,9
2012-11-09;1080303,6;1261416,5;1092363,8;1080303,6;1092280,1;1150023,1
2012-11-16;1078872,6;1203267,0;1068184,0;1078872,6;1068652,1;1115036,1
2012-11-23;1081469,6;1140689,1;1538670,8;1081469,6;1516317,6;1255577,4
2012-11-30;1078690,9;1061307,5;1175939,0;1078690,9;1170634,4;1104282,8
2012-12-07;1078831,1;1018806,6;1305522,1;1078831,1;1293936,4;1131258,0
2012-12-14;1077719,4;974135,7;1437842,6;1077719,4;1420293,5;1163081,1
2012-12-21;1077602,9;949022,1;1856298,5;1077602,9;1822940,4;1302558,1
