Date;key_Store_Dept;Predictions;p_20;p_80;Weekly_Sales;metric_Acc
2012-09-07;10_1;27715,328;25110,15;30218,27;29426,33;0,94185471534729
2012-09-14;10_1;29060,867;26554,824;32036,45;30321,06;0,9584383368492126
2012-09-21;10_1;28811,62;25080,973;31547,77;30872,22;0,9332538843154907
2012-09-28;10_1;29282,113;25398,316;32741,387;31477,5;0,9302553534507751
2012-10-05;10_1;32197,508;27809,387;36860,7;36323,95;0,8863988518714905
2012-10-12;10_1;33422,273;29478,3;38252,32;40626,47;0,8226723670959473
2012-10-19;10_1;39425,145;31315,842;44045,074;44224,36;0,8914802670478821
2012-10-26;10_1;45161,324;33052,95;54437,04;58409,83;0,7731802463531494
2012-09-07;10_10;52192,797;48869,633;54920,543;48221,99;0,9176556468009949
2012-09-14;10_10;49765,785;46544,914;53656,582;47110,6;0,94363933801651
2012-09-21;10_10;49156,414;44409,566;53318,316;46756,39;0,9486696124076843
2012-09-28;10_10;48920,53;43677,832;53729,168;47821,03;0,977008044719696
2012-10-05;10_10;50295,727;46649,785;54767,8;46511,89;0,9186480045318604
2012-10-12;10_10;49421,125;44320,316;52596,945;48684,03;0,9848596453666687
2012-10-19;10_10;47440,5;43285,1;51282,168;46947,21;0,9894927144050598
2012-10-26;10_10;44989,355;40295,508;49868,95;43637,06;0,9690103530883789
2012-09-07;10_11;31304,564;29062,43;33034,785;32102,45;0,975145697593689
2012-09-14;10_11;29227,426;26346,578;31627,05;24863,15;0,8244681358337402
2012-09-21;10_11;27467,97;24760,393;30637,123;25421,8;0,9195111989974976
2012-09-28;10_11;27300,615;23923,406;30668,877;23483,55;0,8374579548835754
2012-10-05;10_11;29621,055;26879,957;32496,195;26447,16;0,8799911141395569
2012-10-12;10_11;28708,885;26168,484;31995,627;25425,08;0,8708438873291016
2012-10-19;10_11;27204,125;24502,516;30002,115;25507,61;0,9334897994995117
2012-10-26;10_11;27319,12;24435,191;30515,633;25448,11;0,9264774322509766
2012-09-07;10_12;8921,677;8465,183;9667,055;8770,35;0,9827455878257751
2012-09-14;10_12;8679,496;7660,497;9858,618;7684,45;0,8705117702484131
2012-09-21;10_12;8723,106;7488,696;9995,317;8649,56;0,9914970397949219
2012-09-28;10_12;8613,441;7237,603;9782,3545;8628,64;0,9982386231422424
2012-10-05;10_12;9250,799;7576,0283;10377,238;9423,35;0,9816890358924866
2012-10-12;10_12;9044,106;7740,5894;10748,152;9051,76;0,9991545081138611
2012-10-19;10_12;9016,106;7286,7153;10786,082;8245,89;0,9065938591957092
2012-10-26;10_12;8991,329;7300,775;10476,036;9043,49;0,994232177734375
2012-09-07;10_13;61176,773;57506,64;65056,227;63844,99;0,958207905292511
2012-09-14;10_13;60267,8;55809,766;64673,37;61430,75;0,9810689687728882
2012-09-21;10_13;59824,715;55749,406;64738,934;60853,2;0,9830989241600037
2012-09-28;10_13;56970,023;52484,28;62916,137;56960,17;0,9998270273208618
2012-10-05;10_13;60160,14;54836,9;66369,234;64940,04;0,9263951778411865
2012-10-12;10_13;58213,39;51422,56;64998,676;61065,21;0,9532987475395203
2012-10-19;10_13;57514,766;51340,68;62401,38;58976,21;0,9752197265625
2012-10-26;10_13;55815,934;49795,625;63447,87;61010,32;0,9148605465888977
2012-09-07;10_14;35027,406;32801,527;36854,36;36763,11;0,9527868032455444
2012-09-14;10_14;33808,336;31816,38;37038,336;34007,61;0,9941403269767761
2012-09-21;10_14;34937,695;31314,459;37292,21;35114,17;0,9949741959571838
2012-09-28;10_14;34121,83;30595,271;37373,684;30545,42;0,8829150795936584
2012-10-05;10_14;35601,746;31858,549;39466,664;34453,61;0,966675877571106
2012-10-12;10_14;35983,21;31103,982;38727,34;33971,87;0,9407939910888672
2012-10-19;10_14;33960,703;30249,797;37480,047;38299,34;0,8867177367210388
2012-10-26;10_14;34856,996;30130,568;37634,895;31883,89;0,9067521095275879
2012-09-07;10_16;29136,502;27710,287;31074,658;31672,06;0,9199433326721191
2012-09-14;10_16;25681,795;23986,719;27582,89;21645,06;0,8135032057762146
2012-09-21;10_16;24434,967;21808,895;26929,295;20310,4;0,7969233989715576
2012-09-28;10_16;23359,35;21032,742;26076,748;17398,02;0,657355785369873
2012-10-05;10_16;22971,436;20820,87;25278,5;16204,14;0,5823724269866943
2012-10-12;10_16;21001,2;18278,152;23160,953;12939,16;0,3769271969795227
2012-10-19;10_16;17958,488;15641,111;20102,902;15007,93;0,8034000396728516
2012-10-26;10_16;15788,586;13791,105;17717,809;11397,55;0,6147385835647583
2012-09-07;10_17;27907,053;25928,084;29755,32;26904,16;0,9627234935760498
2012-09-14;10_17;27336,82;24529,38;29909,533;25049,36;0,9086818695068359
2012-09-21;10_17;25653,617;23068,855;27873,156;24117,41;0,9363029599189758
2012-09-28;10_17;24645,525;21851,396;27582,396;22918,62;0,9246504902839661
2012-10-05;10_17;25084,37;22718,967;27973,193;25257,58;0,9931422472000122
2012-10-12;10_17;24470,818;22009,426;26823,297;24494,83;0,9990197420120239
2012-10-19;10_17;24621,705;21975,256;27555,037;25287,66;0,9736648201942444
2012-10-26;10_17;23686,63;20611,256;27114,445;24781,75;0,955809473991394
2012-09-07;10_18;83,80034;0,0;209,75789;491,81;0,1703917384147644
2012-09-14;10_18;90,497826;0,0;263,36197;1337,98;0,0676376223564148
2012-09-21;10_18;0,0;0,0;247,64868;6629,76;0,0
2012-09-28;10_18;110,708084;0,0;232,20743;11069,68;0,010001003742218018
2012-10-05;10_18;82,14962;0,0;189,5335;16151,92;0,005086064338684082
2012-10-12;10_18;46,312065;0,0;154,14575;19251,31;0,002405703067779541
2012-10-19;10_18;29,850002;0,0;157,05444;22814,92;0,0013083219528198242
2012-10-26;10_18;86,753174;0,0;151,42366;27426,84;0,0031630992889404297
2012-09-07;10_19;2937,7493;2465,4084;3260,9966;2766,89;0,9382485747337341
2012-09-14;10_19;2767,8625;2293,5742;3286,5542;2465,38;0,8773078918457031
2012-09-21;10_19;2859,9824;2294,658;3458,9912;2820,81;0,9861130714416504
2012-09-28;10_19;2704,9893;2228,777;3351,1917;2930,77;0,922961950302124
2012-10-05;10_19;3033,0298;2417,8274;3616,5193;2968,35;0,9782102108001709
2012-10-12;10_19;2839,8032;2254,5325;3509,3792;3440,85;0,8253202438354492
2012-10-19;10_19;2788,7312;2106,1467;3628,9368;2955,1;0,9437010884284973
2012-10-26;10_19;3109,2861;2324,1008;3854,865;3271,02;0,9505555033683777
2012-09-07;10_2;101236,34;96507,32;105308,75;106094,76;0,9542068243026733
2012-09-14;10_2;101017,07;93565,836;106607,06;99757,84;0,9873771667480469
2012-09-21;10_2;99940,63;93052,91;104375,53;105282,5;0,9492616057395935
2012-09-28;10_2;96777,69;87798,3;103890,27;101696,68;0,9516307711601257
2012-10-05;10_2;106055,69;93836,445;110999,734;105938,79;0,9988965392112732
2012-10-12;10_2;102920,55;92882,5;108496,75;99426,46;0,9648575782775879
2012-10-19;10_2;100109,61;91069,6;108794,14;102492,76;0,9767481088638306
2012-10-26;10_2;97197,68;90015,06;107937,72;101458,77;0,9580017328262329
2012-09-07;10_20;14736,449;13738,964;15714,339;14978,13;0,983864426612854
2012-09-14;10_20;14984,205;13629,701;16226,704;13788,44;0,9132777452468872
2012-09-21;10_20;15150,715;13512,707;16314,808;14672,66;0,9674186706542969
2012-09-28;10_20;14441,097;12126,823;16381,678;12170,0;0,8133856654167175
2012-10-05;10_20;15200,612;13034,597;17056,74;15489,16;0,9813709855079651
2012-10-12;10_20;14035,745;11736,159;16047,076;13486,28;0,9592574834823608
2012-10-19;10_20;14009,159;11612,408;15605,958;13732,6;0,9798610806465149
2012-10-26;10_20;13735,562;11782,173;15278,768;14224,36;0,9656364917755127
2012-09-07;10_21;9013,199;8113,4155;9980,948;8979,11;0,9962035417556763
2012-09-14;10_21;8802,193;7785,2705;9835,101;7857,28;0,8797403573989868
2012-09-21;10_21;8923,813;7629,058;9921,971;7914,39;0,8724572062492371
2012-09-28;10_21;8478,813;7176,8545;9596,894;7662,82;0,8935126066207886
2012-10-05;10_21;8876,363;7313,427;10213,767;8365,29;0,9389054775238037
2012-10-12;10_21;8754,03;7122,2007;10009,28;8942,48;0,978926420211792
2012-10-19;10_21;8525,117;7122,049;10252,563;8832,31;0,9652194976806641
2012-10-26;10_21;9005,39;7355,162;10484,706;8204,13;0,9023345708847046
2012-09-07;10_22;24699,023;22206,87;26931,092;24437,9;0,98931485414505
2012-09-14;10_22;23037,252;21721,104;25486,504;22984,55;0,9977071285247803
2012-09-21;10_22;22329,152;18987,898;25213,17;23433,65;0,9528670310974121
2012-09-28;10_22;22655,686;19107,066;24562,432;22109,71;0,9753060936927795
2012-10-05;10_22;24106,078;20721,117;27011,059;22384,46;0,9230887293815613
2012-10-12;10_22;23732,186;21240,496;26618,518;23642,95;0,9962256550788879
2012-10-19;10_22;22978,85;19310,102;25636,24;21332,07;0,9228026270866394
2012-10-26;10_22;21605,025;18545,45;25219,514;21182,97;0,9800757765769958
2012-09-07;10_23;55611,613;51903,695;58635,133;52855,22;0,9478501081466675
