ds;Mixed_Models;Mixed_Models/BottomUp;Mixed_Models/TopDown_method-forecast_proportions;Mixed_Models/MiddleOut_middle_level-Total/Store_top_down_method-forecast_proportions;Mixed_Models/MinTrace_method-ols;Mixed_Models/MinTrace_method-wls_struct;Weekly_Sales
2012-09-07;46645732,0;47834290,0;46645732,0;47522388,0;46665188,0;47334136,0;48330450,0
2012-09-14;44036532,0;45799252,0;44036532,0;47369188,0;44109612,0;45734990,0;44226896,0
2012-09-21;42407680,0;44253064,0;42407680,0;47192324,0;42512388,0;44617690,0;44354936,0
2012-09-28;43147290,0;43392464,0;43147290,0;47259556,0;43236844,0;44599772,0;43735710,0
2012-10-05;46372744,0;46490356,0;46372744,0;47147092,0;46389630,0;46670068,0;47567052,0
2012-10-12;44294540,0;45682972,0;44294540,0;47216708,0;44358572,0;45731410,0;46128910,0
2012-10-19;44385696,0;45559400,0;44385696,0;47161100,0;44446468,0;45702068,0;45122444,0
2012-10-26;44807388,0;45118510,0;44807388,0;47263600,0;44860932,0;45729830,0;45544380,0
2012-09-07;1536743,9;1602808,1;1508395,1;1536743,9;1518491,2;1561283,2;1661767,4
2012-09-14;1558385,6;1552264,4;1448745,5;1558385,6;1486248,4;1534371,1;1517428,9
2012-09-21;1541019,4;1473615,4;1384781,9;1541019,4;1436836,1;1480052,6;1506126,0
2012-09-28;1606688,8;1450679,1;1466883,2;1606688,8;1516196,2;1510764,6;1437059,2
2012-10-05;1559844,8;1587066,0;1534225,5;1559844,8;1543576,1;1569787,4;1670786,0
2012-10-12;1560949,1;1548418,6;1464344,6;1560949,1;1497643,1;1536957,1;1573072,9
2012-10-19;1560593,8;1522694,6;1468753,6;1560593,8;1500143,1;1525404,1;1508068,8
2012-10-26;1561146,6;1483251,0;1480016,2;1561146,6;1507259,8;1510818,6;1493659,8
2012-09-07;1793927,5;1712048,2;1760834,2;1793927,5;1773565,8;1744737,6;1708283,2
2012-09-14;1835807,6;1683586,9;1706649,5;1835807,6;1761580,2;1739341,9;1640169,0
2012-09-21;1752038,6;1675859,8;1574406,9;1752038,6;1647743,4;1687463,2;1671857,6
2012-09-28;1903763,6;1633543,0;1738108,2;1903763,6;1811588,8;1751246,0;1694960,4
2012-10-05;1901320,0;1755499,5;1870092,5;1901320,0;1882561,5;1824846,5;1758971,4
2012-10-12;1902226,8;1727045,8;1784501,0;1902226,8;1836584,5;1797416,1;1713889,1
2012-10-19;1902068,0;1729610,8;1790132,2;1902068,0;1839676,6;1800063,4;1734834,9
2012-10-26;1902851,5;1730908,5;1803963,2;1902851,5;1847591,6;1805825,0;1744349,0
2012-09-07;1358721,5;1367235,8;1333656,8;1358721,5;1339664,0;1354607,0;1304584,4
2012-09-14;1379775,8;1330405,6;1282701,8;1379775,8;1307034,1;1334436,1;1267675,0
2012-09-21;1397111,0;1303057,5;1255463,8;1397111,0;1292554,5;1323209,0;1326133,0
2012-09-28;1393279,5;1262526,5;1272043,8;1393279,5;1303134,5;1310239,6;1227430,8
2012-10-05;1356396,1;1346838,9;1334118,4;1356396,1;1339611,0;1348001,6;1422794,2
2012-10-12;1357352,1;1329597,6;1273347,9;1357352,1;1293839,0;1326001,4;1311965,1
2012-10-19;1357724,2;1320661,1;1277822,9;1357724,2;1297290,1;1323184,8;1232073,1
2012-10-26;1358482,0;1308888,2;1287883,8;1358482,0;1304994,5;1322467,5;1200729,5
2012-09-07;1040452,9;1027236,2;1021259,3;1040452,9;1021088,9;1025836,94;955146,0
2012-09-14;1008148,2;972196,8;937219,94;1008148,2;935622,0;970416,0;885892,6
2012-09-21;1004376,06;922850,06;902546,56;1004376,06;900013,4;937906,25;922735,4
2012-09-28;1005225,0;916385,9;917755,6;1005225,0;915679,2;943910,1;880415,7
2012-10-05;1011481,4;972745,9;994868,6;1011481,4;994265,44;988655,25;979825,94
2012-10-12;1011950,25;961308,5;949322,4;1011950,25;948118,75;969915,8;934923,44
2012-10-19;1011691,7;944421,7;952154,06;1011691,7;950821,9;962744,7;960968,4
2012-10-26;1012071,94;952466,4;959476,1;1012071,94;958437,56;971539,3;974697,6
2012-09-07;2028602,9;2036911,0;1991180,5;2028602,9;2009536,9;2024264,1;2165796,2
2012-09-14;2012751,6;1982984,4;1871144,6;2012751,6;1940281,2;1976914,1;1919917,0
2012-09-21;2092223,2;1928949,4;1880101,4;2092223,2;1986689,8;1983321,5;1938379,6
2012-09-28;2065105,2;1895975,4;1885410,9;2065105,2;1974428,0;1962621,1;1927664,1
2012-10-05;2011165,4;2047707,8;1978133,8;2011165,4;1995028,0;2025768,4;2041918,8
2012-10-12;2013012,5;1999268,5;1888430,4;2013012,5;1949689,5;1988413,9;1999079,5
2012-10-19;2013074,8;1987695,5;1894606,4;2013074,8;1952800,5;1984145,0;2018010,1
2012-10-26;2014098,0;1956916,1;1909428,5;2014098,0;1960502,9;1974127,0;2035189,6
2012-09-07;1681104,4;1777747,5;1650092,6;1681104,4;1663329,9;1721175,8;1904512,4
2012-09-14;1653799,0;1701985,2;1537446,0;1653799,0;1582476,1;1657536,9;1554794,2
2012-09-21;1722599,1;1645613,2;1547951,9;1722599,1;1618292,2;1657620,5;1565352,5
2012-09-28;1845823,6;1623239,8;1685209,9;1845823,6;1754339,2;1717124,5;1522512,2
2012-10-05;1708235,2;1766468,0;1680178,9;1708235,2;1692434,1;1733788,4;1687592,1
2012-10-12;1855578,0;1727912,0;1740739,4;1855578,0;1790624,4;1774525,0;1639590,6
2012-10-19;1762273,6;1741459,0;1658564,8;1762273,6;1702079,9;1736090,2;1590274,8
2012-10-26;1775563,6;1726209,1;1683290,4;1775563,6;1722080,4;1739831,4;1704357,6
2012-09-07;611787,06;610942,56;600501,25;611787,06;592607,75;603357,25;587259,8
2012-09-14;628161,75;579064,2;583967,44;628161,75;555439,4;583856,56;527509,75
2012-09-21;630267,56;556953,0;566367,4;630267,56;526027,44;567903,5;533161,6
2012-09-28;618016,06;538579,25;564239,6;618016,06;528610,6;561402,4;553902,0
2012-10-05;626832,06;572449,9;616536,9;626832,06;609382,56;596182,44;573498,6
2012-10-12;627291,4;565856,75;588469,3;627291,4;563298,8;579860,44;551799,6
2012-10-19;627009,94;575216,8;590110,7;627009,94;566371,1;585801,4;555652,75
2012-10-26;627281,8;570569,0;594682,94;627281,8;573690,6;588195,56;558473,6
2012-09-07;641665,5;562250,44;629828,5;641665,5;621271,56;594314,44;537169,5
2012-09-14;553728,44;536397,0;514770,9;553728,44;481519,16;526204,25;526925,2
2012-09-21;542312,75;512834,12;487329,94;542312,75;438779,53;503035,1;509942,56
2012-09-28;524293,56;486765,28;478672,3;524293,56;435550,0;489402,1;469607,72
2012-10-05;525546,56;506052,0;516914,9;525546,56;508615,97;512498,03;471281,7
2012-10-12;516993,03;510686,0;484997,2;516993,03;453863,66;497885,6;491817,2
2012-10-19;519073,1;527721,44;488525,9;519073,1;459385,0;508781,22;577198,94
2012-10-26;521517,97;514275,2;494415,5;521517,97;468697,5;507654,4;475770,12
2012-09-07;900269,1;1004852,75;883661,56;900269,1;882663,4;944553,5;1255669,5
2012-09-14;894818,5;974211,3;831863,56;894818,5;824013,9;914758,44;1071040,2
2012-09-21;901460,5;898916,2;810065,2;901460,5;798276,7;874481,5;938303,3
2012-09-28;900661,9;859893,06;822291,06;900661,9;811833,56;863382,06;972716,25
2012-10-05;901861,75;896045,1;887049,44;901861,75;885137,1;895494,94;952609,2
2012-10-12;902512,0;882932,94;846657,0;902512,0;839144,1;876008,8;919878,3
2012-10-19;896632,2;871234,0;843865,9;896632,2;836387,4;868621,0;957356,9
2012-10-26;897322,8;869891,1;850690,3;897322,8;844168,6;872877,0;943476,3
2012-09-07;1048691,1;1085855,0;1029345,56;1048691,1;1030054,6;1059023,0;1083550,6
