,Date,key_Store_Dept,pred,p_20,p_80
0,2012-11-02,10_1,49539.016,36085.83,60756.37
1,2012-11-09,10_1,47570.113,33656.785,66446.76
2,2012-11-16,10_1,39484.484,18474.125,60367.42
3,2012-11-23,10_1,36798.426,20896.525,55047.715
4,2012-11-30,10_1,36060.63,16974.969,59166.176
5,2012-12-07,10_1,27666.805,15439.492,49219.49
6,2012-12-14,10_1,29592.412,16270.275,42376.434
7,2012-12-21,10_1,28901.66,14459.431,41087.38
8,2012-11-02,10_10,45401.54,39030.812,54999.0
9,2012-11-09,10_10,44218.09,30087.758,57784.465
10,2012-11-16,10_10,44661.94,30969.674,60672.6
11,2012-11-23,10_10,43910.16,27318.8,60786.688
12,2012-11-30,10_10,40038.47,25048.533,51129.74
13,2012-12-07,10_10,38935.09,25045.62,57092.215
14,2012-12-14,10_10,41292.484,25462.342,58234.5
15,2012-12-21,10_10,44481.613,27789.871,62301.992
16,2012-11-02,10_11,27959.164,23479.84,31217.344
17,2012-11-09,10_11,25811.945,19842.812,33944.566
18,2012-11-16,10_11,26789.137,19629.729,34872.5
19,2012-11-23,10_11,25367.67,17112.371,33520.055
20,2012-11-30,10_11,23804.033,14870.031,31502.729
21,2012-12-07,10_11,28181.547,15906.195,38026.742
22,2012-12-14,10_11,27771.123,14806.805,40847.547
23,2012-12-21,10_11,23620.9,12699.922,33807.176
24,2012-11-02,10_12,8225.738,6002.9014,11216.625
25,2012-11-09,10_12,8964.148,4830.3535,12382.286
26,2012-11-16,10_12,9323.486,4633.131,13469.428
27,2012-11-23,10_12,9444.416,5379.667,12821.104
28,2012-11-30,10_12,8903.534,4161.61,12923.049
29,2012-12-07,10_12,7283.283,2510.1714,12118.134
30,2012-12-14,10_12,7888.3726,3363.02,12015.447
31,2012-12-21,10_12,5994.9927,2086.4456,10710.989
32,2012-11-02,10_13,63446.734,53668.15,73589.63
33,2012-11-09,10_13,58945.387,47677.477,74631.9
34,2012-11-16,10_13,58886.066,40227.9,71333.06
35,2012-11-23,10_13,86294.82,37942.363,76443.98
36,2012-11-30,10_13,56257.72,32051.76,74565.484
37,2012-12-07,10_13,52974.656,32315.14,69021.52
38,2012-12-14,10_13,60819.547,34112.43,72261.945
39,2012-12-21,10_13,64956.695,36190.906,77177.91
40,2012-11-02,10_14,34122.477,28008.084,40933.35
41,2012-11-09,10_14,33341.793,26195.275,41082.332
42,2012-11-16,10_14,31626.482,20019.348,40136.76
43,2012-11-23,10_14,31895.926,22357.557,41205.67
44,2012-11-30,10_14,28699.23,18089.496,40520.75
45,2012-12-07,10_14,29584.432,18543.787,42405.598
46,2012-12-14,10_14,29140.627,17639.867,39312.09
