,Date,key_Store_Dept,Predictions,p_20,p_80,Weekly_Sales,metric_Acc
0,2012-09-07,10_1,27790.18,24698.184,30786.566,29426.33,0.9443984031677246
1,2012-09-14,10_1,29022.488,25979.365,32639.105,30321.06,0.9571725726127625
2,2012-09-21,10_1,28615.672,23939.139,31948.97,30872.22,0.9269068241119385
3,2012-09-28,10_1,29238.64,24326.33,33675.094,31477.5,0.9288743138313293
4,2012-10-05,10_1,31998.533,26229.082,37378.29,36323.95,0.8809211254119873
5,2012-10-12,10_1,32704.72,27877.42,38488.617,40626.47,0.805010199546814
6,2012-10-19,10_1,38829.83,29222.459,44612.133,44224.36,0.8780189752578735
7,2012-10-26,10_1,44120.64,30354.482,55005.566,58409.83,0.7553632855415344
8,2012-09-07,10_10,52364.89,48499.156,55556.78,48221.99,0.9140868782997131
9,2012-09-14,10_10,49933.785,46099.906,54599.78,47110.6,0.9400733113288879
10,2012-09-21,10_10,49391.64,43251.21,54477.4,46756.39,0.9436387419700623
11,2012-09-28,10_10,49691.184,42483.613,55469.676,47821.03,0.9608926773071289
12,2012-10-05,10_10,49982.76,45161.45,56921.62,46511.89,0.9253767132759094
13,2012-10-12,10_10,49102.1,43524.71,55282.42,48684.03,0.9914125800132751
14,2012-10-19,10_10,47467.695,41965.742,52538.207,46947.21,0.9889134168624878
15,2012-10-26,10_10,45252.965,38193.04,51850.547,43637.06,0.9629694223403931
16,2012-09-07,10_11,31452.01,28955.172,33379.125,32102.45,0.9797386527061462
17,2012-09-14,10_11,29426.322,26170.133,32130.951,24863.15,0.8164684772491455
18,2012-09-21,10_11,27646.373,24608.49,31352.555,25421.8,0.9124935269355774
19,2012-09-28,10_11,27824.037,23840.398,31964.72,23483.55,0.815169095993042
20,2012-10-05,10_11,30692.553,26594.26,33982.688,26447.16,0.839476466178894
21,2012-10-12,10_11,29383.756,25653.945,33812.664,25425.08,0.844300389289856
22,2012-10-19,10_11,27629.682,23255.096,31878.594,25507.61,0.9168062806129456
23,2012-10-26,10_11,27439.002,23579.338,31685.83,25448.11,0.9217665791511536
24,2012-09-07,10_12,8966.1455,8490.69,9740.324,8770.35,0.9776752591133118
25,2012-09-14,10_12,8756.767,7679.287,10001.244,7684.45,0.8604563474655151
26,2012-09-21,10_12,8840.6875,7519.597,10212.543,8649.56,0.9779031872749329
27,2012-09-28,10_12,8777.557,7284.059,10037.655,8628.64,0.9827415347099304
28,2012-10-05,10_12,9086.637,7708.562,10655.446,9423.35,0.9642682075500488
29,2012-10-12,10_12,9127.247,7818.249,10674.167,9051.76,0.991660475730896
30,2012-10-19,10_12,9041.8,7206.875,10941.942,8245.89,0.9034779667854309
31,2012-10-26,10_12,9297.974,7467.002,10867.949,9043.49,0.9718600511550903
32,2012-09-07,10_13,60742.637,55976.023,65838.95,63844.99,0.9514080882072449
33,2012-09-14,10_13,59488.113,53420.715,65485.605,61430.75,0.9683768153190613
34,2012-09-21,10_13,59168.87,53433.402,66276.28,60853.2,0.9723214507102966
35,2012-09-28,10_13,55790.48,49656.723,64744.375,56960.17,0.9794647693634033
36,2012-10-05,10_13,59022.945,51060.086,67524.484,64940.04,0.9088837504386902
37,2012-10-12,10_13,55880.85,45882.562,66453.51,61065.21,0.9151012897491455
38,2012-10-19,10_13,55804.105,46707.7,63398.23,58976.21,0.9462138414382935
39,2012-10-26,10_13,56758.016,45135.965,66109.51,61010.32,0.9303019046783447
40,2012-09-07,10_14,35008.41,31728.332,38742.453,36763.11,0.9522700905799866
41,2012-09-14,10_14,33526.656,30827.525,37831.35,34007.61,0.9858574867248535
42,2012-09-21,10_14,35172.57,30896.773,38465.062,35114.17,0.998336911201477
43,2012-09-28,10_14,34042.273,29657.205,38699.02,30545.42,0.8855195641517639
44,2012-10-05,10_14,36928.527,32400.443,41558.67,34453.61,0.9281666278839111
45,2012-10-12,10_14,36588.906,30039.682,40672.367,33971.87,0.9229646325111389
46,2012-10-19,10_14,33976.242,29722.602,39099.457,38299.34,0.8871234655380249
47,2012-10-26,10_14,33630.664,28005.32,37018.266,31883.89,0.945214569568634
48,2012-09-07,10_16,29338.66,27706.236,31380.924,31672.06,0.9263262152671814
49,2012-09-14,10_16,25922.95,23967.416,28531.145,21645.06,0.8023619055747986
50,2012-09-21,10_16,25000.42,22404.523,27997.54,20310.4,0.7690828442573547
51,2012-09-28,10_16,24153.668,21570.373,27084.828,17398.02,0.611700177192688
52,2012-10-05,10_16,23974.51,21710.879,26560.234,16204.14,0.5204700231552124
53,2012-10-12,10_16,22046.93,18825.58,24667.977,12939.16,0.2961081266403198
54,2012-10-19,10_16,18861.596,16058.251,21631.652,15007.93,0.7432246804237366
55,2012-10-26,10_16,16703.613,14242.075,18769.74,11397.55,0.5344557762145996
56,2012-09-07,10_17,28201.658,25692.453,30488.232,26904.16,0.9517733454704285
57,2012-09-14,10_17,27379.04,23772.053,30684.65,25049.36,0.9069964289665222
58,2012-09-21,10_17,26404.332,22774.51,29859.04,24117.41,0.9051754474639893
59,2012-09-28,10_17,25222.283,20722.379,28998.135,22918.62,0.8994850516319275
60,2012-10-05,10_17,27326.756,21824.85,28904.977,25257.58,0.9180770516395569
61,2012-10-12,10_17,27362.473,20999.064,27557.553,24494.83,0.8829286694526672
62,2012-10-19,10_17,25148.426,21563.877,28881.508,25287.66,0.9944939613342285
63,2012-10-26,10_17,23754.965,19631.035,27433.799,24781.75,0.9585669040679932
64,2012-09-07,10_18,87.773026,0.0,210.58719,491.81,0.17846935987472534
65,2012-09-14,10_18,127.37431,0.0,265.33533,1337.98,0.09519892930984497
66,2012-09-21,10_18,109.94379,0.0,223.45488,6629.76,0.016583383083343506
67,2012-09-28,10_18,61.97477,0.0,235.80295,11069.68,0.005598604679107666
68,2012-10-05,10_18,81.54194,0.0,233.10411,16151.92,0.0050484538078308105
69,2012-10-12,10_18,50.177444,0.0,206.53787,19251.31,0.0026064515113830566
70,2012-10-19,10_18,98.097824,0.0,277.57452,22814.92,0.0042997002601623535
71,2012-10-26,10_18,23.911976,0.0,153.11177,27426.84,0.0008718371391296387
72,2012-09-07,10_19,2950.7922,2434.8235,3303.926,2766.89,0.9335346221923828
73,2012-09-14,10_19,2760.36,2243.1353,3289.5134,2465.38,0.8803510069847107
74,2012-09-21,10_19,2832.1348,2246.0872,3449.2837,2820.81,0.9959853291511536
75,2012-09-28,10_19,2585.4382,2249.5667,3288.7393,2930.77,0.8821703195571899
76,2012-10-05,10_19,2965.4106,2477.3745,3591.7314,2968.35,0.9990097284317017
77,2012-10-12,10_19,2935.5815,2227.496,3552.5627,3440.85,0.8531559109687805
78,2012-10-19,10_19,2506.8362,1781.9484,3499.2246,2955.1,0.8483083844184875
79,2012-10-26,10_19,3189.291,2219.9104,4164.429,3271.02,0.9750142097473145
80,2012-09-07,10_2,100642.6,94477.26,106025.65,106094.76,0.9486104846000671
81,2012-09-14,10_2,100244.19,90066.7,107658.56,99757.84,0.9951247572898865
82,2012-09-21,10_2,97734.07,87872.41,105195.44,105282.5,0.9283031225204468
83,2012-09-28,10_2,96332.74,81138.04,106732.26,101696.68,0.947255551815033
84,2012-10-05,10_2,113083.03,85169.46,114057.16,105938.79,0.932562530040741
85,2012-10-12,10_2,105914.16,86655.48,109831.59,99426.46,0.9347488284111023
86,2012-10-19,10_2,95686.7,81800.42,109746.32,102492.76,0.9335947632789612
87,2012-10-26,10_2,98902.68,79411.414,111579.2,101458.77,0.974806547164917
88,2012-09-07,10_20,14921.209,13826.77,15987.561,14978.13,0.9961997270584106
89,2012-09-14,10_20,15191.048,13674.914,16566.428,13788.44,0.8982765674591064
90,2012-09-21,10_20,15097.52,13212.243,16641.986,14672.66,0.97104412317276
91,2012-09-28,10_20,14675.392,12308.992,16410.7,12170.0,0.7941337823867798
92,2012-10-05,10_20,15490.013,12995.201,17918.727,15489.16,0.9999449849128723
93,2012-10-12,10_20,14333.461,11575.139,16659.734,13486.28,0.9371820688247681
94,2012-10-19,10_20,14362.227,11280.79,16206.967,13732.6,0.954150915145874
95,2012-10-26,10_20,14219.504,11709.343,16017.718,14224.36,0.9996585845947266
96,2012-09-07,10_21,9035.348,8066.1,10078.04,8979.11,0.9937368631362915
97,2012-09-14,10_21,8832.273,7695.7383,9964.449,7857.28,0.875912070274353
98,2012-09-21,10_21,9110.324,7755.879,10237.582,7914.39,0.8488911986351013
99,2012-09-28,10_21,8633.858,7077.539,9954.9,7662.82,0.8732792139053345
100,2012-10-05,10_21,8990.998,7393.0645,10520.869,8365.29,0.9252018928527832
101,2012-10-12,10_21,8847.135,6938.3696,10279.526,8942.48,0.9893378615379333
102,2012-10-19,10_21,8645.117,7113.0938,10577.136,8832.31,0.9788059592247009
103,2012-10-26,10_21,8982.82,7585.0894,10451.507,8204.13,0.905085563659668
104,2012-09-07,10_22,24351.512,21663.064,26519.156,24437.9,0.9964649677276611
105,2012-09-14,10_22,23310.738,21328.62,26433.646,22984.55,0.9858083724975586
106,2012-09-21,10_22,22609.057,19020.766,25535.357,23433.65,0.9648115634918213
107,2012-09-28,10_22,23261.527,19397.037,25667.305,22109.71,0.9479045271873474
108,2012-10-05,10_22,24153.08,19854.11,27176.408,22384.46,0.9209889769554138
109,2012-10-12,10_22,23214.94,20590.934,27308.18,23642.95,0.9818969368934631
110,2012-10-19,10_22,22679.387,19080.424,26129.166,21332.07,0.9368407726287842
111,2012-10-26,10_22,22116.887,17742.334,25690.76,21182.97,0.9559119343757629
112,2012-09-07,10_23,56081.31,51093.66,59643.535,52855.22,0.9389636516571045
113,2012-09-14,10_23,54345.51,49825.613,58609.574,53483.66,0.9838857054710388
114,2012-09-21,10_23,52421.195,46145.953,56896.605,53112.83,0.9869780540466309
115,2012-09-28,10_23,52751.58,46358.05,58526.96,51737.52,0.9803999662399292
116,2012-10-05,10_23,56317.844,50792.95,62246.086,54097.4,0.9589546918869019
117,2012-10-12,10_23,59714.297,50366.46,69013.875,55403.73,0.922197163105011
118,2012-10-19,10_23,55330.08,45536.277,62583.074,58628.76,0.9437360763549805
119,2012-10-26,10_23,55194.754,44453.96,62993.137,59735.58,0.9239845871925354
120,2012-09-07,10_24,9751.147,8830.799,10726.601,10188.77,0.9570485949516296
121,2012-09-14,10_24,8784.26,7445.454,10105.603,8960.9,0.9802876114845276
122,2012-09-21,10_24,9191.522,7203.153,10812.503,8823.04,0.9582363367080688
